Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
6th,RB,WR,WR,WR,QB,WR,WR,WR,TE,1,5,2,1,1611
12th,RB,RB,RB,TE,QB,WR,WR,QB,WR,0,1,7,1,1610.98318
4th,RB,RB,WR,QB,RB,QB,WR,WR,WR,0,2,5,2,1610.86156
12th,WR,RB,WR,WR,QB,WR,QB,TE,RB,0,4,4,1,1610.81454
12th,WR,RB,TE,WR,WR,WR,QB,QB,WR,0,4,4,1,1610.75846
1st,WR,WR,RB,WR,QB,RB,WR,RB,QB,0,4,3,2,1610.5892
9th,RB,WR,QB,RB,WR,QB,WR,RB,WR,0,2,5,2,1610.56392
6th,WR,WR,TE,RB,WR,QB,QB,WR,WR,0,5,3,1,1610.50898
12th,RB,RB,RB,WR,TE,RB,QB,QB,TE,0,1,8,0,1610.49804
12th,WR,RB,WR,TE,WR,WR,QB,RB,WR,1,3,4,1,1610.47632
12th,WR,RB,TE,RB,RB,WR,QB,QB,WR,0,2,6,1,1610.34558
6th,RB,WR,TE,RB,WR,QB,QB,WR,WR,0,3,5,1,1610.17414
12th,WR,RB,RB,TE,WR,WR,QB,RB,WR,1,2,5,1,1610.16862
6th,RB,RB,RB,RB,TE,WR,QB,QB,TE,0,1,8,0,1610.1402
12th,WR,RB,WR,RB,WR,WR,QB,RB,RB,1,1,5,2,1610.08788
1st,RB,WR,RB,QB,WR,WR,TE,WR,QB,0,3,4,2,1610
1st,RB,WR,WR,WR,QB,RB,RB,WR,TE,1,3,4,1,1610
6th,RB,WR,WR,WR,TE,QB,QB,TE,WR,0,6,3,0,1610
1st,RB,WR,WR,TE,RB,WR,RB,WR,QB,2,3,4,0,1610
6th,RB,WR,WR,WR,QB,WR,WR,TE,QB,0,6,2,1,1610
6th,RB,WR,WR,QB,TE,QB,WR,WR,TE,0,6,3,0,1610
6th,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,7,1,1,1610
12th,WR,RB,WR,RB,TE,QB,WR,QB,RB,1,3,4,1,1610
1st,RB,RB,WR,WR,WR,WR,TE,QB,TE,1,3,5,0,1610
6th,RB,WR,WR,WR,TE,QB,RB,WR,WR,1,4,3,1,1610
1st,WR,WR,WR,QB,WR,WR,TE,TE,QB,0,9,0,0,1610
6th,RB,WR,WR,WR,TE,WR,WR,QB,WR,1,5,2,1,1610
4th,RB,RB,WR,QB,TE,QB,TE,WR,WR,0,2,7,0,1610
4th,RB,RB,WR,QB,RB,WR,TE,RB,WR,1,1,6,1,1609.96892
6th,RB,WR,WR,WR,QB,WR,RB,WR,QB,0,4,3,2,1609.8193
6th,RB,RB,WR,WR,WR,RB,QB,TE,WR,1,2,5,1,1609.79674
1st,WR,WR,WR,QB,RB,WR,TE,RB,RB,1,3,4,1,1609.70386
12th,WR,RB,WR,QB,QB,TE,RB,TE,WR,0,3,6,0,1609.6302
12th,WR,RB,RB,RB,QB,RB,WR,QB,TE,0,1,7,1,1609.57486
6th,RB,WR,QB,RB,QB,WR,TE,WR,RB,0,3,5,1,1609.45188
6th,RB,QB,WR,RB,TE,WR,QB,RB,RB,0,3,5,1,1609.26368
1st,RB,RB,RB,TE,RB,WR,TE,QB,QB,0,0,9,0,1609.24642
6th,RB,RB,RB,WR,TE,RB,QB,WR,WR,1,1,6,1,1609.16884
12th,WR,RB,TE,TE,WR,WR,QB,RB,WR,1,3,5,0,1609.07732
1st,RB,RB,WR,WR,WR,WR,RB,QB,TE,1,2,5,1,1609.02576
1st,RB,WR,WR,QB,QB,RB,WR,RB,WR,0,3,3,3,1609.02488
6th,RB,WR,TE,QB,QB,RB,RB,WR,WR,0,1,7,1,1609.00618
12th,WR,RB,WR,WR,TE,RB,QB,QB,RB,0,3,5,1,1609
6th,RB,WR,WR,WR,WR,WR,RB,QB,TE,1,4,3,1,1609
1st,RB,WR,WR,WR,TE,TE,TE,QB,QB,0,5,4,0,1609
4th,RB,RB,WR,WR,WR,TE,QB,TE,QB,0,3,6,0,1609
6th,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,5,3,1,1609
4th,RB,WR,WR,QB,WR,TE,RB,WR,WR,1,4,3,1,1609
9th,RB,WR,QB,RB,RB,QB,WR,WR,TE,0,4,4,1,1609
12th,WR,RB,WR,WR,QB,WR,TE,QB,RB,0,5,2,2,1609
1st,RB,WR,WR,QB,WR,WR,TE,WR,QB,0,6,2,1,1609
1st,RB,TE,WR,WR,RB,QB,WR,QB,QB,0,4,4,1,1609
6th,RB,WR,TE,QB,WR,WR,TE,QB,WR,0,6,3,0,1609
6th,RB,RB,TE,WR,QB,RB,QB,WR,WR,0,1,7,1,1608.98546
6th,RB,WR,QB,RB,WR,QB,TE,WR,RB,0,2,6,1,1608.95876
12th,WR,RB,RB,RB,WR,WR,QB,RB,RB,1,0,5,3,1608.74262
12th,RB,RB,RB,WR,WR,QB,WR,QB,WR,0,1,5,3,1608.6927
6th,WR,RB,WR,TE,QB,WR,QB,TE,RB,0,3,6,0,1608.59096
6th,RB,WR,QB,TE,QB,WR,TE,WR,RB,0,3,6,0,1608.43582
4th,RB,RB,WR,WR,QB,RB,RB,WR,WR,1,1,5,2,1608.40584
